,platform,genre,title,score,Unnamed: 0.1,nplatform,ngenre,score8
165,PC,platformer,Cave Story Plus,83,,14,0,1
166,Wii,platformer,And Yet It Moves,83,,0,0,1
168,3DS,platformer,VVVVVV,83,,9,0,1
169,PC,platformer,Broforce,83,,14,0,1
170,PlayStation 3,platformer,Spelunky,83,,1,0,1
171,Xbox 360,platformer,Skylanders Swap Force,83,,5,0,1
172,Wii U,platformer,Donkey Kong Country: Tropical Freeze,83,,6,0,1
174,3DS,platformer,Cave Story 3D,82,,9,0,1
176,PlayStation Vita,platformer,Shantae: Half-Genie Hero,82,,11,0,1
178,PlayStation 4,platformer,N++,82,,15,0,1
179,Xbox 360,platformer,Sonic CD,82,,5,0,1
183,3DS,platformer,Shantae and the Pirate's Curse,82,,9,0,1
185,3DS,platformer,Skylanders: Spyro's Adventure,82,,9,0,1
186,Xbox 360,platformer,Mega Man 9,82,,5,0,1
188,Wii,platformer,NyxQuest: Kindred Spirits,82,,0,0,1
189,Xbox 360,platformer,Prince of Persia Classic,82,,5,0,1
190,3DS,platformer,SteamWorld Dig,82,,9,0,1
192,Xbox 360,platformer,Sonic the Hedgehog 2,82,,5,0,1
195,Wii,platformer,de Blob,82,,0,0,1
196,PlayStation 3,platformer,Closure,81,,1,0,1
197,Wii,platformer,Mega Man 10,81,,0,0,1
198,Wii U,platformer,Oddworld: Abe's Oddysee - New 'n' Tasty,81,,6,0,1
201,PC,platformer,VVVVVV,81,,14,0,1
205,PlayStation Vita,platformer,Stick it to the Man!,81,,11,0,1
207,PC,platformer,Vessel,81,,14,0,1
209,PlayStation 3,platformer,Jak and Daxter Collection,81,,1,0,1
210,PlayStation 3,platformer,Terraria,81,,1,0,1
211,PC,platformer,King Arthur's Gold,81,,14,0,1
212,PlayStation 4,platformer,Shantae: Half-Genie Hero,81,,15,0,1
216,PC,platformer,Rochard,81,,14,0,1
217,Xbox 360,platformer,Terraria,81,,5,0,1
218,PC,platformer,PixelJunk Eden,81,,14,0,1
219,Wii,platformer,LostWinds,81,,0,0,1
220,Wii,platformer,Sonic the Hedgehog 4: Episode I,81,,0,0,1
222,PlayStation Vita,platformer,1001 Spikes,81,,11,0,1
223,Xbox One,platformer,Valiant Hearts: The Great War,81,,12,0,1
224,3DS,platformer,3D Sonic the Hedgehog,81,,9,0,1
225,Wii,platformer,Skylanders: Spyro's Adventure,81,,0,0,1
226,PC,platformer,Eets,81,,14,0,1
229,Wii U,platformer,Shantae: Half-Genie Hero,80,,6,0,1
230,PC,platformer,Lovers in a Dangerous Spacetime,80,,14,0,1
231,Xbox One,platformer,Shantae: Half-Genie Hero,80,,12,0,1
233,Wii U,platformer,Mighty Switch Force! Hyper Drive Edition,80,,6,0,1
234,3DS,platformer,Mutant Mudds,80,,9,0,1
236,PlayStation 3,platformer,PixelJunk Eden,80,,1,0,1
237,PlayStation 3,platformer,Puppeteer,80,,1,0,1
238,PC,platformer,La-Mulana (Remake),80,,14,0,1
240,Xbox 360,platformer,Skylanders Giants,80,,5,0,1
242,Wii U,platformer,Skylanders Giants,80,,6,0,1
243,Wii,platformer,A Boy and His Blob,80,,0,0,1
245,Xbox 360,platformer,Cloning Clyde,80,,5,0,1
246,PC,platformer,Stealth Bastard Deluxe,80,,14,0,1
247,PC,platformer,Candle,80,,14,0,1
249,PC,platformer,Gish,80,,14,0,1
250,PlayStation 3,platformer,Stealth Inc: A Clone in the Dark,80,,1,0,1
252,PlayStation 3,platformer,Thomas Was Alone,80,,1,0,1
253,PC,platformer,CAPSIZED,80,,14,0,1
254,PlayStation 3,platformer,Sonic CD,80,,1,0,1
255,PC,platformer,140,80,,14,0,1
256,PC,platformer,Dustforce,79,,14,0,0
257,Xbox 360,platformer,Banjo-Kazooie: Nuts & Bolts,79,,5,0,0
259,Xbox 360,platformer,Mega Man 10,79,,5,0,0
260,PC,platformer,Super House of Dead Ninjas,79,,14,0,0
261,PlayStation 4,platformer,Skylanders Swap Force,79,,15,0,0
262,Xbox 360,platformer,Sonic the Hedgehog 3,79,,5,0,0
263,PlayStation Vita,platformer,Knytt Underground,79,,11,0,0
264,PC,platformer,Valiant Hearts: The Great War,79,,14,0,0
265,PlayStation 3,platformer,Stick it to the Man!,79,,1,0,0
270,Wii U,platformer,Teslagrad,79,,6,0,0
271,PC,platformer,Waking Mars,79,,14,0,0
273,PC,platformer,Trine 2: Goblin Menace,79,,14,0,0
275,Wii,platformer,de Blob 2,79,,0,0,0
278,Xbox 360,platformer,Marble Blast Ultra,79,,5,0,0
279,3DS,platformer,Mighty Switch Force!,79,,9,0,0
281,PC,platformer,Apotheon,78,,14,0,0
282,Xbox 360,platformer,Skylanders: Spyro's Adventure,78,,5,0,0
283,Wii U,platformer,Yoshi's Woolly World,78,,6,0,0
284,Wii U,platformer,Angry Video Game Nerd Adventures,78,,6,0,0
285,Wii,platformer,Castlevania: The Adventure ReBirth,78,,0,0,0
286,PC,platformer,Closure,78,,14,0,0
289,PlayStation 4,platformer,1001 Spikes,78,,15,0,0
290,3DS,platformer,Fluidity: Spin Cycle,78,,9,0,0
291,3DS,platformer,Mario and Donkey Kong: Minis on the Move,78,,9,0,0
293,PlayStation Vita,platformer,Stealth Inc: A Clone in the Dark,78,,11,0,0
294,Wii,platformer,New Play Control! Donkey Kong Jungle Beat,78,,0,0,0
297,Wii,platformer,Sonic Colors,78,,0,0,0
299,PlayStation Vita,platformer,Thomas Was Alone,78,,11,0,0
300,3DS,platformer,New Super Mario Bros. 2,78,,9,0,0
301,Wii,platformer,Wario Land: Shake It!,78,,0,0,0
302,PC,platformer,Deadlight,78,,14,0,0
303,Wii,platformer,Skylanders Giants,78,,0,0,0
304,PlayStation 3,platformer,Mega Man 10,78,,1,0,0
308,PC,platformer,Sonic Generations,77,,14,0,0
309,PlayStation 3,platformer,Skylanders Giants,77,,1,0,0
310,PlayStation 3,platformer,Mega Man 9,77,,1,0,0
312,Xbox 360,platformer,Eets: Chowdown,77,,5,0,0
314,Xbox 360,platformer,Banjo-Kazooie,77,,5,0,0
315,PC,platformer,Giana Sisters: Twisted Dreams,77,,14,0,0
317,PC,platformer,Element4l,77,,14,0,0
318,PlayStation 4,platformer,Valiant Hearts: The Great War,77,,15,0,0
319,Xbox 360,platformer,Sonic Generations,77,,5,0,0
321,Xbox 360,platformer,Sonic the Hedgehog (Live Arcade),77,,5,0,0
322,PC,platformer,Thomas Was Alone,77,,14,0,0
323,Xbox 360,platformer,Wik & the Fable of Souls,77,,5,0,0
325,3DS,platformer,3D Classics: Kid Icarus,77,,9,0,0
326,PC,platformer,Teslagrad,77,,14,0,0
328,Wii,platformer,Kirby's Return to Dream Land,77,,0,0,0
329,3DS,platformer,3D Classics: Kirby's Adventure,77,,9,0,0
331,PC,platformer,Angry Video Game Nerd Adventures,77,,14,0,0
334,PlayStation 3,platformer,Valiant Hearts: The Great War,77,,1,0,0
335,Wii,platformer,Klonoa,77,,0,0,0
337,Xbox 360,platformer,de Blob 2,77,,5,0,0
338,PlayStation 3,platformer,Skylanders: Spyro's Adventure,77,,1,0,0
339,Wii U,platformer,New Super Luigi U,77,,6,0,0
340,PC,platformer,SteamWorld Dig,76,,14,0,0
344,PlayStation 3,platformer,Ratchet & Clank: Into the Nexus,76,,1,0,0
346,PlayStation 3,platformer,Ratchet & Clank Future: Quest for Booty,76,,1,0,0
347,Wii,platformer,Bubble Bobble Plus!,76,,0,0,0
350,PC,platformer,Shantae: Half-Genie Hero,76,,14,0,0
351,PlayStation 3,platformer,Sonic Generations,76,,1,0,0
352,PlayStation 3,platformer,Tales From Space: About a Blob,76,,1,0,0
356,Xbox 360,platformer,Lode Runner,76,,5,0,0
358,Wii U,platformer,Disney DuckTales Remastered,76,,6,0,0
359,PlayStation 3,platformer,Kung Fu Panda,76,,1,0,0
365,Wii,platformer,Max & the Magic Marker,76,,0,0,0
368,PlayStation 3,platformer,NiGHTS into Dreams...,75,,1,0,0
371,PC,platformer,Scribblenauts Unlimited,75,,14,0,0
372,PlayStation 3,platformer,Jet Set Radio,75,,1,0,0
374,PC,platformer,Seasons After Fall,75,,14,0,0
376,PC,platformer,Tobe's Vertical Adventure,75,,14,0,0
377,PlayStation 3,platformer,Cloudberry Kingdom,75,,1,0,0
378,PC,platformer,The Maw,75,,14,0,0
379,PC,platformer,OIO The Game,75,,14,0,0
381,Xbox 360,platformer,Hard Corps: Uprising,75,,5,0,0
382,Xbox 360,platformer,The Maw,75,,5,0,0
384,PC,platformer,And Yet It Moves,75,,14,0,0
385,Wii U,platformer,Cloudberry Kingdom,75,,6,0,0
387,Xbox 360,platformer,DreamWorks Kung Fu Panda,75,,5,0,0
388,PlayStation 3,platformer,Sly Cooper: Thieves in Time,75,,1,0,0
391,PlayStation 3,platformer,Disney DuckTales Remastered,75,,1,0,0
392,Wii,platformer,Ivy the Kiwi?,74,,0,0,0
394,PC,platformer,Edge (2011),74,,14,0,0
398,Wii U,platformer,Mighty Switch Force! 2,74,,6,0,0
400,PC,platformer,Rayman 3: Hoodlum Havoc,74,,14,0,0
401,Xbox 360,platformer,CAPSIZED,74,,5,0,0
404,PC,platformer,Snapshot,74,,14,0,0
406,Wii U,platformer,Giana Sisters: Twisted Dreams,74,,6,0,0
407,3DS,platformer,Yumi's Odd Odyssey,74,,9,0,0
409,PC,platformer,Pac-Man World 3,74,,14,0,0
412,PC,platformer,They Bleed Pixels,74,,14,0,0
413,Xbox 360,platformer,Doritos Crash Course,74,,5,0,0
414,PC,platformer,Life Goes On,73,,14,0,0
424,Wii U,platformer,Scribblenauts Unlimited,73,,6,0,0
425,PlayStation 3,platformer,Funky Lab Rat,73,,1,0,0
430,Xbox 360,platformer,Earthworm Jim HD,73,,5,0,0
431,PC,platformer,A Story About My Uncle,73,,14,0,0
432,3DS,platformer,Mighty Switch Force! 2,73,,9,0,0
433,Wii,platformer,Disney Epic Mickey,73,,0,0,0
434,Xbox 360,platformer,Banjo-Tooie,73,,5,0,0
436,PlayStation 3,platformer,Knytt Underground,73,,1,0,0
437,3DS,platformer,Scribblenauts Unlimited,73,,9,0,0
438,PC,platformer,Madagascar,73,,14,0,0
440,3DS,platformer,1001 Spikes,73,,9,0,0
441,Wii U,platformer,Armillo,72,,6,0,0
445,PlayStation Vita,platformer,Oddworld: Munch's Oddysee HD,72,,11,0,0
446,PlayStation 3,platformer,LocoRoco Cocoreccho!,72,,1,0,0
448,PlayStation 3,platformer,Rayman 3 HD,72,,1,0,0
450,PC,platformer,Chasm,72,,14,0,0
451,PC,platformer,Ninja Senki,72,,14,0,0
456,Xbox 360,platformer,Pid,72,,5,0,0
457,Xbox 360,platformer,NiGHTS into Dreams...,72,,5,0,0
458,Xbox 360,platformer,Sega Vintage Collection: Monster World,72,,5,0,0
459,PC,platformer,Gateways,72,,14,0,0
460,PlayStation 3,platformer,Disney Castle of Illusion starring Mickey Mouse,72,,1,0,0
461,Xbox 360,platformer,Rocket Knight,72,,5,0,0
463,Wii,platformer,Deadly Creatures,72,,0,0,0
464,PlayStation 3,platformer,The Cave,72,,1,0,0
466,Xbox 360,platformer,Sonic the Hedgehog 4: Episode I,72,,5,0,0
468,Wii,platformer,Mushroom Men: The Spore Wars,72,,0,0,0
469,PC,platformer,Tetrobot and Co.,72,,14,0,0
471,PlayStation Vita,platformer,Kung Fu Rabbit,72,,11,0,0
476,Wii U,platformer,The Cave,72,,6,0,0
480,PC,platformer,Lost Orbit,72,,14,0,0
481,3DS,platformer,Rayman Origins,71,,9,0,0
482,3DS,platformer,Bike Rider DX,71,,9,0,0
487,PlayStation 3,platformer,The Fancy Pants Adventures,71,,1,0,0
488,PC,platformer,Max & the Magic Marker,71,,14,0,0
493,PlayStation 3,platformer,The Simpsons Game,71,,1,0,0
494,PC,platformer,Street Fighter X Mega Man,71,,14,0,0
495,Wii U,platformer,Scribblenauts Unmasked: A DC Comics Adventure,71,,6,0,0
496,PC,platformer,Disney's Chicken Little,71,,14,0,0
504,3DS,platformer,Naruto Powerful Shippuden,71,,9,0,0
511,3DS,platformer,CRUSH3D,71,,9,0,0
513,Wii,platformer,Death Jr.: Root of Evil,71,,0,0,0
514,Xbox 360,platformer,The Simpsons Game,71,,5,0,0
516,PC,platformer,DreamWorks Kung Fu Panda,71,,14,0,0
518,PC,platformer,Harold,70,,14,0,0
519,PlayStation 3,platformer,Earthworm Jim HD,70,,1,0,0
520,Wii,platformer,Crash: Mind Over Mutant,70,,0,0,0
521,Xbox 360,platformer,Bubble Bobble Neo!,70,,5,0,0
523,Xbox 360,platformer,Ninja Gaiden 3: Razor's Edge,70,,5,0,0
525,Xbox 360,platformer,The Cave,70,,5,0,0
526,PlayStation 3,platformer,Ratchet & Clank: All 4 One,70,,1,0,0
528,Xbox 360,platformer,Hell Yeah! Wrath of the Dead Rabbit,70,,5,0,0
532,Xbox 360,platformer,Jet Set Radio,70,,5,0,0
534,Xbox 360,platformer,Disney DuckTales Remastered,70,,5,0,0
539,PlayStation 3,platformer,Rocket Knight,70,,1,0,0
545,PlayStation 3,platformer,Elefunk,70,,1,0,0
546,Wii,platformer,Kung Fu Panda,70,,0,0,0
547,PlayStation 3,platformer,Pid,70,,1,0,0
550,PC,platformer,Shiftlings,70,,14,0,0
556,Xbox 360,platformer,Sega Vintage Collection: ToeJam & Earl,69,,5,0,0
559,PC,platformer,Disney Castle of Illusion starring Mickey Mouse,69,,14,0,0
562,Wii U,platformer,Ninja Gaiden 3: Razor's Edge,69,,6,0,0
563,PlayStation 3,platformer,BloodRayne: Betrayal,69,,1,0,0
565,3DS,platformer,Shinobi,69,,9,0,0
566,Wii,platformer,NiGHTS: Journey of Dreams,69,,0,0,0
569,Wii,platformer,Sonic and the Secret Rings,69,,0,0,0
570,PC,platformer,Cobalt,69,,14,0,0
576,Xbox 360,platformer,Rayman 3 HD,69,,5,0,0
579,PC,platformer,Glare,69,,14,0,0
582,PlayStation Vita,platformer,Touch My Katamari,69,,11,0,0
583,PlayStation 3,platformer,Max & the Magic Marker: Gold Edition,69,,1,0,0
584,Xbox 360,platformer,Giana Sisters: Twisted Dreams,69,,5,0,0
585,Xbox 360,platformer,Sonic & Knuckles,69,,5,0,0
588,PlayStation Vita,platformer,Life of Pixel,69,,11,0,0
589,3DS,platformer,Scribblenauts Unmasked: A DC Comics Adventure,68,,9,0,0
594,Xbox 360,platformer,Cloudberry Kingdom,68,,5,0,0
595,Xbox 360,platformer,Joust,68,,5,0,0
597,Wii,platformer,Chronos Twins DX,68,,0,0,0
601,PC,platformer,A.R.E.S. Extinction Agenda,68,,14,0,0
602,Wii,platformer,Lost in Shadow,68,,0,0,0
605,PC,platformer,A Valley Without Wind 2,68,,14,0,0
606,PlayStation 3,platformer,Hell Yeah! Wrath of the Dead Rabbit,68,,1,0,0
608,PC,platformer,The Cave (2013),68,,14,0,0
611,PlayStation 3,platformer,Prince of Persia: Epilogue,68,,1,0,0
612,3DS,platformer,Rising Board 3D,68,,9,0,0
613,PC,platformer,Unepic,68,,14,0,0
617,PC,platformer,Scribblenauts Unmasked: A DC Comics Adventure,68,,14,0,0
618,Xbox 360,platformer,Deadlight,68,,5,0,0
622,3DS,platformer,Skylanders Swap Force,68,,9,0,0
623,Xbox 360,platformer,Nin2-Jump,67,,5,0,0
624,Xbox 360,platformer,The Fancy Pants Adventures,67,,5,0,0
629,PC,platformer,A Walk in the Dark,67,,14,0,0
630,Xbox 360,platformer,Disney Castle of Illusion starring Mickey Mouse,67,,5,0,0
631,PlayStation 3,platformer,Do Not Fall,67,,1,0,0
632,PlayStation 3,platformer,Ninja Gaiden 3: Razor's Edge,67,,1,0,0
633,PC,platformer,Cloudberry Kingdom,67,,14,0,0
634,PC,platformer,The SpongeBob SquarePants Movie,67,,14,0,0
639,Xbox 360,platformer,Rayman Raving Rabbids,67,,5,0,0
640,Wii,platformer,Dewy's Adventure,67,,0,0,0
641,PlayStation Vita,platformer,Jak and Daxter Collection,67,,11,0,0
642,Xbox 360,platformer,Prince of Persia: Epilogue,67,,5,0,0
643,3DS,platformer,Sonic Generations,66,,9,0,0
646,PC,platformer,Pitfall: The Lost Expedition,66,,14,0,0
648,PlayStation 3,platformer,Scarygirl,66,,1,0,0
649,Wii,platformer,Ice Age 2: The Meltdown,66,,0,0,0
650,PC,platformer,Oozi: Earth Adventure,66,,14,0,0
651,PC,platformer,Disney DuckTales Remastered,66,,14,0,0
652,Xbox One,platformer,Cobalt,66,,12,0,0
664,Wii,platformer,Sonic Unleashed,66,,0,0,0
665,PlayStation 3,platformer,Black Knight Sword,66,,1,0,0
667,PlayStation 3,platformer,Sackboy's Prehistoric Moves,66,,1,0,0
669,PC,platformer,Sonic Heroes,66,,14,0,0
672,Xbox 360,platformer,A.R.E.S. Extinction Agenda EX,66,,5,0,0
673,PlayStation Vita,platformer,The HD Adventures of Rotating Octopus Character,66,,11,0,0
675,3DS,platformer,2 Fast 4 Gnomz,65,,9,0,0
677,Wii U,platformer,Kung Fu Rabbit,65,,6,0,0
679,PC,platformer,Over the Hedge,65,,14,0,0
685,3DS,platformer,Bloody Vampire,65,,9,0,0
686,PC,platformer,Blood of the Werewolf,65,,14,0,0
690,Xbox 360,platformer,Black Knight Sword,65,,5,0,0
691,PlayStation 3,platformer,Explodemon,65,,1,0,0
692,PlayStation 3,platformer,Sonic Adventure 2,65,,1,0,0
693,PlayStation 3,platformer,The Baconing,65,,1,0,0
694,Wii,platformer,Where the Wild Things Are,65,,0,0,0
695,3DS,platformer,Kung Fu Rabbit,65,,9,0,0
699,PC,platformer,The Incredibles: Rise of the Underminer,65,,14,0,0
703,Wii,platformer,A Monsteca Corral: Monsters vs. Robots,64,,0,0,0
706,Wii,platformer,Disney Epic Mickey 2: The Power of Two,64,,0,0,0
708,Wii,platformer,The Legend of Spyro: Dawn of the Dragon,64,,0,0,0
711,Wii,platformer,The Simpsons Game,64,,0,0,0
713,PC,platformer,Dusty Revenge,64,,14,0,0
715,PC,platformer,Hell Yeah! Wrath of the Dead Rabbit,64,,14,0,0
717,Xbox 360,platformer,The Baconing,64,,5,0,0
721,PlayStation 3,platformer,Ratchet & Clank: Full Frontal Assault,64,,1,0,0
723,PC,platformer,Lemony Snicket's A Series of Unfortunate Events,64,,14,0,0
726,PC,platformer,Shark Tale,63,,14,0,0
727,3DS,platformer,Disney Epic Mickey: The Power of Illusion,63,,9,0,0
730,PC,platformer,The Baconing,63,,14,0,0
731,Xbox 360,platformer,Lucidity,63,,5,0,0
733,PC,platformer,Pid,63,,14,0,0
734,Xbox 360,platformer,Spider-Man 3,63,,5,0,0
739,Xbox 360,platformer,Scarygirl,63,,5,0,0
741,Wii U,platformer,Sonic: Lost World,63,,6,0,0
745,PC,platformer,Rocket Knight,63,,14,0,0
746,PlayStation 3,platformer,Bionic Commando Rearmed 2,63,,1,0,0
747,PlayStation 3,platformer,Sonic the Hedgehog 4: Episode II,63,,1,0,0
750,Xbox 360,platformer,The Legend of Spyro: Dawn of the Dragon,62,,5,0,0
754,Wii,platformer,Disney/Pixar Ratatouille,62,,0,0,0
756,Xbox 360,platformer,Bionic Commando Rearmed 2,62,,5,0,0
757,PC,platformer,Spider-Man 3,62,,14,0,0
760,3DS,platformer,Jett Rocket II: The Wrath of Taikai,62,,9,0,0
761,3DS,platformer,Senran Kagura Burst,62,,9,0,0
769,PC,platformer,Dragon's Lair 3D: Return to the Lair,61,,14,0,0
772,3DS,platformer,Rayman 3D,61,,9,0,0
774,PlayStation Vita,platformer,Atomic Ninjas,61,,11,0,0
775,Xbox 360,platformer,Sonic the Hedgehog 4: Episode II,61,,5,0,0
777,Wii,platformer,Bobby Carrot Forever,61,,0,0,0
786,PlayStation 3,platformer,Superfrog HD,61,,1,0,0
789,PC,platformer,Mutant Mudds,61,,14,0,0
793,Xbox 360,platformer,Crash: Mind Over Mutant,60,,5,0,0
796,Wii,platformer,Nicktoons: Attack of the Toybots,60,,0,0,0
798,Xbox 360,platformer,Sonic Unleashed,60,,5,0,0
801,PlayStation 3,platformer,Zack Zero,60,,1,0,0
804,Xbox 360,platformer,Sonic Adventure 2,60,,5,0,0
805,Wii,platformer,The Legend of Spyro: The Eternal Night,60,,0,0,0
808,Wii,platformer,Pallurikio,60,,0,0,0
809,Wii,platformer,Adventure Island: The Beginning,60,,0,0,0
812,PlayStation 3,platformer,Spider-Man 3,60,,1,0,0
816,PC,platformer,Ethan: Meteor Hunter,59,,14,0,0
817,PlayStation 3,platformer,Disney Epic Mickey 2: The Power of Two,59,,1,0,0
822,PC,platformer,Lucidity,59,,14,0,0
825,PlayStation 4,platformer,Contrast,59,,15,0,0
830,Xbox 360,platformer,Open Season,59,,5,0,0
832,Wii,platformer,Cocoto Platform Jumper,59,,0,0,0
833,3DS,platformer,Rabbids Rumble,59,,9,0,0
835,3DS,platformer,Sonic: Lost World,59,,9,0,0
837,Xbox 360,platformer,Disney Epic Mickey 2: The Power of Two,59,,5,0,0
839,3DS,platformer,AeternoBlade,59,,9,0,0
840,3DS,platformer,Skylanders Giants,59,,9,0,0
842,PlayStation 3,platformer,The Legend of Spyro: Dawn of the Dragon,59,,1,0,0
848,PC,platformer,Zapper,58,,14,0,0
850,PC,platformer,Disney*Pixar WALL-E,58,,14,0,0
852,PC,platformer,Taz Wanted,58,,14,0,0
853,Xbox 360,platformer,Rush'n Attack,58,,5,0,0
855,PlayStation 3,platformer,Atomic Ninjas,58,,1,0,0
856,Xbox 360,platformer,Ninja Gaiden 3,58,,5,0,0
859,Wii,platformer,Blaster Master: Overdrive,58,,0,0,0
861,PlayStation 3,platformer,Ninja Gaiden 3,58,,1,0,0
863,PC,platformer,Rayman Raving Rabbids,58,,14,0,0
864,Wii,platformer,Furry Legends,58,,0,0,0
867,PC,platformer,Open Season,58,,14,0,0
871,Xbox 360,platformer,Space Chimps,57,,5,0,0
873,Wii U,platformer,Disney Epic Mickey 2: The Power of Two,57,,6,0,0
